,TEAM_ID,STANDINGSDATE,TEAM,CONFERENCE
0,1610612743,2022-12-22,Denver,West
1,1610612763,2022-12-22,Memphis,West
2,1610612740,2022-12-22,New Orleans,West
3,1610612756,2022-12-22,Phoenix,West
4,1610612746,2022-12-22,LA Clippers,West
5,1610612758,2022-12-22,Sacramento,West
6,1610612762,2022-12-22,Utah,West
7,1610612757,2022-12-22,Portland,West
8,1610612742,2022-12-22,Dallas,West
9,1610612750,2022-12-22,Minnesota,West
10,1610612744,2022-12-22,Golden State,West
11,1610612760,2022-12-22,Oklahoma City,West
12,1610612747,2022-12-22,L.A. Lakers,West
13,1610612759,2022-12-22,San Antonio,West
14,1610612745,2022-12-22,Houston,West
9750,1610612756,2021-12-22,Phoenix,West
9751,1610612744,2021-12-22,Golden State,West
9752,1610612762,2021-12-22,Utah,West
9753,1610612763,2021-12-22,Memphis,West
9754,1610612746,2021-12-22,LA Clippers,West
9755,1610612747,2021-12-22,L.A. Lakers,West
9756,1610612742,2021-12-22,Dallas,West
9757,1610612743,2021-12-22,Denver,West
9758,1610612750,2021-12-22,Minnesota,West
9759,1610612757,2021-12-22,Portland,West
9760,1610612759,2021-12-22,San Antonio,West
9761,1610612758,2021-12-22,Sacramento,West
9762,1610612760,2021-12-22,Oklahoma City,West
9763,1610612740,2021-12-22,New Orleans,West
9764,1610612745,2021-12-22,Houston,West
19380,1610612746,2020-12-22,LA Clippers,West
19381,1610612744,2020-12-22,Golden State,West
19382,1610612747,2020-12-22,L.A. Lakers,West
19383,1610612742,2020-12-22,Dallas,West
19384,1610612743,2020-12-22,Denver,West
19385,1610612745,2020-12-22,Houston,West
19386,1610612763,2020-12-22,Memphis,West
19387,1610612750,2020-12-22,Minnesota,West
19388,1610612740,2020-12-22,New Orleans,West
19389,1610612760,2020-12-22,Oklahoma City,West
19390,1610612756,2020-12-22,Phoenix,West
19391,1610612757,2020-12-22,Portland,West
19392,1610612758,2020-12-22,Sacramento,West
19393,1610612759,2020-12-22,San Antonio,West
19394,1610612762,2020-12-22,Utah,West
32804,1610612747,2019-12-22,L.A. Lakers,West
32805,1610612743,2019-12-22,Denver,West
32806,1610612745,2019-12-22,Houston,West
32807,1610612746,2019-12-22,LA Clippers,West
32808,1610612742,2019-12-22,Dallas,West
32809,1610612762,2019-12-22,Utah,West
32810,1610612760,2019-12-22,Oklahoma City,West
32811,1610612757,2019-12-22,Portland,West
32812,1610612758,2019-12-22,Sacramento,West
32813,1610612759,2019-12-22,San Antonio,West
32814,1610612756,2019-12-22,Phoenix,West
32815,1610612763,2019-12-22,Memphis,West
32816,1610612750,2019-12-22,Minnesota,West
32817,1610612740,2019-12-22,New Orleans,West
32818,1610612744,2019-12-22,Golden State,West
98127,1610612743,2018-12-22,Denver,West
98128,1610612760,2018-12-22,Oklahoma City,West
98129,1610612744,2018-12-22,Golden State,West
98130,1610612747,2018-12-22,L.A. Lakers,West
98131,1610612746,2018-12-22,LA Clippers,West
98132,1610612757,2018-12-22,Portland,West
98133,1610612745,2018-12-22,Houston,West
98134,1610612758,2018-12-22,Sacramento,West
98135,1610612759,2018-12-22,San Antonio,West
98136,1610612763,2018-12-22,Memphis,West
98137,1610612742,2018-12-22,Dallas,West
98138,1610612762,2018-12-22,Utah,West
98139,1610612740,2018-12-22,New Orleans,West
98140,1610612750,2018-12-22,Minnesota,West
98141,1610612756,2018-12-22,Phoenix,West
103602,1610612744,2017-12-22,Golden State,West
103603,1610612745,2017-12-22,Houston,West
103604,1610612759,2017-12-22,San Antonio,West
103605,1610612750,2017-12-22,Minnesota,West
103606,1610612743,2017-12-22,Denver,West
103607,1610612760,2017-12-22,Oklahoma City,West
103608,1610612740,2017-12-22,New Orleans,West
103609,1610612757,2017-12-22,Portland,West
103610,1610612762,2017-12-22,Utah,West
103611,1610612746,2017-12-22,LA Clippers,West
103612,1610612747,2017-12-22,L.A. Lakers,West
103613,1610612758,2017-12-22,Sacramento,West
103614,1610612756,2017-12-22,Phoenix,West
103615,1610612763,2017-12-22,Memphis,West
103616,1610612742,2017-12-22,Dallas,West
109077,1610612744,2016-12-22,Golden State,West
109078,1610612759,2016-12-22,San Antonio,West
109079,1610612745,2016-12-22,Houston,West
109080,1610612746,2016-12-22,LA Clippers,West
109081,1610612763,2016-12-22,Memphis,West
109082,1610612762,2016-12-22,Utah,West
109083,1610612760,2016-12-22,Oklahoma City,West
109084,1610612757,2016-12-22,Portland,West
109085,1610612743,2016-12-22,Denver,West
109086,1610612758,2016-12-22,Sacramento,West
109087,1610612747,2016-12-22,L.A. Lakers,West
109088,1610612740,2016-12-22,New Orleans,West
109089,1610612750,2016-12-22,Minnesota,West
109090,1610612742,2016-12-22,Dallas,West
109091,1610612756,2016-12-22,Phoenix,West
114567,1610612744,2015-12-22,Golden State,West
114568,1610612759,2015-12-22,San Antonio,West
114569,1610612760,2015-12-22,Oklahoma City,West
114570,1610612746,2015-12-22,LA Clippers,West
114571,1610612742,2015-12-22,Dallas,West
114572,1610612763,2015-12-22,Memphis,West
114573,1610612745,2015-12-22,Houston,West
114574,1610612762,2015-12-22,Utah,West
114575,1610612756,2015-12-22,Phoenix,West
114576,1610612743,2015-12-22,Denver,West
114577,1610612750,2015-12-22,Minnesota,West
114578,1610612758,2015-12-22,Sacramento,West
114579,1610612757,2015-12-22,Portland,West
114580,1610612740,2015-12-22,New Orleans,West
114581,1610612747,2015-12-22,L.A. Lakers,West
120042,1610612744,2014-12-22,Golden State,West
120043,1610612757,2014-12-22,Portland,West
120044,1610612763,2014-12-22,Memphis,West
120045,1610612745,2014-12-22,Houston,West
120046,1610612742,2014-12-22,Dallas,West
120047,1610612746,2014-12-22,L.A. Clippers,West
120048,1610612759,2014-12-22,San Antonio,West
120049,1610612740,2014-12-22,New Orleans,West
120050,1610612756,2014-12-22,Phoenix,West
120051,1610612760,2014-12-22,Oklahoma City,West
120052,1610612743,2014-12-22,Denver,West
120053,1610612758,2014-12-22,Sacramento,West
120054,1610612762,2014-12-22,Utah,West
120055,1610612747,2014-12-22,L.A. Lakers,West
120056,1610612750,2014-12-22,Minnesota,West
